FullDate;DateKey;Year;Month;Day;DayOfWeek
20/10/2025;20251020;2025;10;20;Monday
21/10/2025;20251021;2025;10;21;Tuesday
22/10/2025;20251022;2025;10;22;Wednesday
23/10/2025;20251023;2025;10;23;Thursday
24/10/2025;20251024;2025;10;24;Friday
25/10/2025;20251025;2025;10;25;Saturday
26/10/2025;20251026;2025;10;26;Sunday
27/10/2025;20251027;2025;10;27;Monday
28/10/2025;20251028;2025;10;28;Tuesday
29/10/2025;20251029;2025;10;29;Wednesday
30/10/2025;20251030;2025;10;30;Thursday
31/10/2025;20251031;2025;10;31;Friday
01/11/2025;20251101;2025;11;1;Saturday
02/11/2025;20251102;2025;11;2;Sunday
03/11/2025;20251103;2025;11;3;Monday
04/11/2025;20251104;2025;11;4;Tuesday
05/11/2025;20251105;2025;11;5;Wednesday
06/11/2025;20251106;2025;11;6;Thursday
07/11/2025;20251107;2025;11;7;Friday
08/11/2025;20251108;2025;11;8;Saturday
09/11/2025;20251109;2025;11;9;Sunday
10/11/2025;20251110;2025;11;10;Monday
11/11/2025;20251111;2025;11;11;Tuesday
12/11/2025;20251112;2025;11;12;Wednesday
13/11/2025;20251113;2025;11;13;Thursday
14/11/2025;20251114;2025;11;14;Friday
15/11/2025;20251115;2025;11;15;Saturday
16/11/2025;20251116;2025;11;16;Sunday
17/11/2025;20251117;2025;11;17;Monday
18/11/2025;20251118;2025;11;18;Tuesday
19/11/2025;20251119;2025;11;19;Wednesday
20/11/2025;20251120;2025;11;20;Thursday
21/11/2025;20251121;2025;11;21;Friday
22/11/2025;20251122;2025;11;22;Saturday
23/11/2025;20251123;2025;11;23;Sunday
24/11/2025;20251124;2025;11;24;Monday
25/11/2025;20251125;2025;11;25;Tuesday
26/11/2025;20251126;2025;11;26;Wednesday
27/11/2025;20251127;2025;11;27;Thursday
28/11/2025;20251128;2025;11;28;Friday
01/12/2025;20251201;2025;12;1;Monday
02/12/2025;20251202;2025;12;2;Tuesday
03/12/2025;20251203;2025;12;3;Wednesday
04/12/2025;20251204;2025;12;4;Thursday
05/12/2025;20251205;2025;12;5;Friday
06/12/2025;20251206;2025;12;6;Saturday
07/12/2025;20251207;2025;12;7;Sunday
08/12/2025;20251208;2025;12;8;Monday
09/12/2025;20251209;2025;12;9;Tuesday
10/12/2025;20251210;2025;12;10;Wednesday
11/12/2025;20251211;2025;12;11;Thursday
12/12/2025;20251212;2025;12;12;Friday
13/12/2025;20251213;2025;12;13;Saturday
14/12/2025;20251214;2025;12;14;Sunday
15/12/2025;20251215;2025;12;15;Monday
16/12/2025;20251216;2025;12;16;Tuesday
17/12/2025;20251217;2025;12;17;Wednesday
18/12/2025;20251218;2025;12;18;Thursday
19/12/2025;20251219;2025;12;19;Friday
